"","InsiderID","NodeCount","EdgeCount","outlierscore"
"281",74122,2,1,0.0225555699745597
"282",115087,7,21,0.338873066475602
"283",115088,7,21,0.338873066475602
"284",115091,7,21,0.338873066475602
"285",74130,3,3,0.117283656975405
"286",115093,3,3,0.117283656975405
"287",115098,2,1,0.0225555699745597
"288",106909,2,1,0.0225555699745597
"289",115105,2,1,0.0225555699745597
"290",106917,2,1,0.0225555699745597
"291",115109,2,1,0.0225555699745597
"292",106916,5,10,0.325174566221368
"293",82343,2,1,0.0225555699745597
"294",115113,3,3,0.117283656975405
"295",106923,9,36,0.0368479974634529
"296",98735,3,3,0.117283656975405
"297",98737,2,1,0.0225555699745597
"298",106928,9,36,0.0368479974634529
"299",106930,9,36,0.0368479974634529
"300",82357,2,1,0.0225555699745597
"301",82356,4,6,0.244142754026732
"302",106934,9,36,0.0368479974634529
"303",106937,9,36,0.0368479974634529
"304",106939,9,36,0.0368479974634529
"305",90554,3,3,0.117283656975405
"306",82365,2,1,0.0225555699745597
"307",115132,5,10,0.325174566221368
"308",90556,3,3,0.117283656975405
"309",90559,2,1,0.0225555699745597
"310",115135,5,10,0.325174566221368
"311",115134,5,10,0.325174566221368
"312",98752,2,1,0.0225555699745597
"313",90560,3,3,0.117283656975405
"314",90563,3,3,0.117283656975405
"315",82373,2,1,0.0225555699745597
"316",106949,9,36,0.0368479974634529
"317",90564,3,3,0.117283656975405
"318",98759,2,1,0.0225555699745597
"319",98758,2,1,0.0225555699745597
"320",106950,9,36,0.0368479974634529
"321",115145,2,1,0.0225555699745597
"322",106957,3,3,0.117283656975405
"323",90575,2,1,0.0225555699745597
"324",90574,2,1,0.0225555699745597
"325",82385,2,1,0.0225555699745597
"326",90576,2,1,0.0225555699745597
"327",82386,2,1,0.0225555699745597
"328",98775,7,21,0.338873066475602
"329",98774,7,21,0.338873066475602
"330",106966,10,45,0.305734728046635
"331",115161,3,3,0.117283656975405
"332",82393,7,21,0.338873066475602
"333",98776,7,21,0.338873066475602
"334",106971,2,1,0.0225555699745597
"335",115162,3,3,0.117283656975405
"336",106973,10,45,0.305734728046635
"337",90588,7,21,0.338873066475602
"338",98780,2,1,0.0225555699745597
"339",115164,3,3,0.117283656975405
"340",90593,2,1,0.0225555699745597
"341",98784,2,1,0.0225555699745597
"342",98787,7,21,0.338873066475602
"343",115175,2,1,0.0225555699745597
"344",98791,5,10,0.325174566221368
"345",90601,2,1,0.0225555699745597
"346",115176,2,1,0.0225555699745597
"347",106987,2,1,0.0225555699745597
"348",106990,2,1,0.0225555699745597
"349",82416,3,3,0.117283656975405
"350",98802,2,1,0.0225555699745597
"351",82418,3,3,0.117283656975405
"352",98806,7,21,0.338873066475602
"353",115193,2,1,0.0225555699745597
"354",115192,2,1,0.0225555699745597
"355",115195,2,1,0.0225555699745597
"356",115194,2,1,0.0225555699745597
"357",74237,3,3,0.117283656975405
"358",98815,3,3,0.117283656975405
"359",98816,3,3,0.117283656975405
"360",74242,3,3,0.117283656975405
"361",107020,2,1,0.0225555699745597
"362",90639,2,1,0.0225555699745597
"363",90642,2,1,0.0225555699745597
"364",74260,7,21,0.338873066475602
"365",98839,2,1,0.0225555699745597
"366",107033,2,1,0.0225555699745597
"367",74264,3,3,0.117283656975405
"368",115227,3,3,0.117283656975405
"369",74266,2,1,0.0225555699745597
"370",90653,2,1,0.0225555699745597
"371",107037,2,1,0.0225555699745597
"372",82460,2,1,0.0225555699745597
"373",115230,3,3,0.117283656975405
"374",115233,3,3,0.117283656975405
"375",82465,3,3,0.117283656975405
"376",74280,2,1,0.0225555699745597
"377",98859,2,1,0.0225555699745597
"378",115242,2,1,0.0225555699745597
"379",98858,2,1,0.0225555699745597
"380",115246,2,1,0.0225555699745597
"381",98865,2,1,0.0225555699745597
"382",98864,6,12,0.527126275679993
"383",115248,2,1,0.0225555699745597
"384",115251,2,1,0.0225555699745597
"385",115252,2,1,0.0225555699745597
"386",98871,6,12,0.527126275679993
"387",115254,3,3,0.117283656975405
"388",90681,4,6,0.244142754026732
"389",74297,2,1,0.0225555699745597
"390",90680,3,3,0.117283656975405
"391",98875,6,12,0.527126275679993
"392",90682,4,6,0.244142754026732
"393",90685,4,6,0.244142754026732
"394",90691,2,1,0.0225555699745597
"395",107075,3,3,0.117283656975405
"396",74307,2,1,0.0225555699745597
"397",107077,3,3,0.117283656975405
"398",107076,3,3,0.117283656975405
"399",90697,2,1,0.0225555699745597
"400",107083,5,10,0.325174566221368
"401",90707,2,1,0.0225555699745597
"402",98898,2,1,0.0225555699745597
"403",90706,2,1,0.0225555699745597
"404",90710,4,6,0.244142754026732
"405",74328,7,21,0.338873066475602
"406",90717,5,8,0.348007518972655
"407",90720,5,8,0.348007518972655
"408",90725,4,6,0.244142754026732
"409",74340,2,1,0.0225555699745597
"410",90727,4,6,0.244142754026732
"411",98919,3,3,0.117283656975405
"412",107111,2,1,0.0225555699745597
"413",90728,4,6,0.244142754026732
"414",90731,3,2,0.321381679985193
