InsiderID, NodeCount, EdgeCount
99181,2,1
90989,3,3
99180,2,1
82801,2,1
99184,2,1
82803,2,1
82805,2,1
115576,2,1
107386,4,4
107388,6,15
91004,2,1
82815,3,3
107391,6,15
107390,6,15
107393,2,1
115584,3,3
107392,2,1
82819,6,15
107395,6,15
82818,3,3
107394,6,15
82821,6,15
82820,6,15
82823,6,15
107399,3,3
82822,6,15
107398,6,15
82825,6,15
107400,3,3
82827,3,3
115595,3,3
115594,3,3
107404,2,1
115601,6,15
107409,5,10
74643,2,1
107411,5,10
115602,6,15
107412,5,10
107415,7,21
74646,2,1
107417,2,1
107416,7,21
107419,7,21
107425,7,21
82848,2,1
107424,2,1
107427,5,10
107426,2,1
99237,2,1
107429,5,10
82855,2,1
115623,6,15
99238,2,1
82854,2,1
115625,6,15
115624,6,15
82859,2,1
91051,3,3
82858,3,3
115626,6,15
74671,2,1
99246,2,1
99249,3,3
115632,3,3
99250,3,3
115634,3,3
115637,3,3
99252,4,4
82871,2,1
91063,3,3
99255,3,3
82870,2,1
115641,2,1
91064,3,3
107451,2,1
82875,2,1
107450,2,1
82876,2,1
107452,2,1
107455,2,1
115647,2,1
107457,2,1
115649,2,1
115648,2,1
99272,3,3
74701,2,1
99276,2,1
82895,5,10
82900,5,10
82902,5,10
82907,4,6
107483,2,1
82909,5,10
74716,4,6
82908,5,10
82910,3,3
91102,3,3
74721,2,1
91107,3,3
91109,3,3
82916,4,6
82920,3,3
82923,2,1
107499,2,1
91116,7,21
74732,2,1
82927,3,3
107502,2,1
91121,4,6
99312,2,1
82930,2,1
91125,7,21
107511,2,1
91126,7,21
82937,2,1
115704,2,1
107512,2,1
107515,2,1
115706,2,1
82938,2,1
107516,2,1
82942,2,1
91143,2,1
74762,2,1
91153,7,21
99344,2,1
107536,3,3
99347,2,1
91157,7,21
107541,5,10
82964,2,1
99348,2,1
82967,2,1
115735,2,1
107542,5,10
107545,5,10
107544,5,10
82970,4,6
107546,5,10
74783,2,1
107551,3,3
99358,2,1
82977,12,65
82976,12,65
107552,3,3
82979,16,120
91171,3,3
82978,12,65
107557,2,1
91174,3,3
107558,2,1
91176,3,3
99371,2,1
99373,5,10
99372,2,1
107567,3,3
99375,5,10
99374,5,10
82993,19,134
82992,2,1
99376,5,10
107570,3,2
82994,12,65
82997,2,1
107573,4,6
99381,5,10
82996,12,65
107574,2,1
82998,16,120
91195,7,21
99391,2,1
115776,7,21
115779,7,21
99395,2,1
115778,7,21
99394,2,1
115783,7,21
107590,9,36
107593,9,36
115785,7,21
91211,3,3
83019,2,1
115786,7,21
83021,2,1
115791,2,1
107599,2,1
115796,2,1
107607,2,1
99414,2,1
83032,2,1
99418,5,10
115805,2,1
83036,2,1
107612,4,6
74844,7,21
115806,2,1
74850,2,1
74853,2,1
115815,2,1
115814,2,1
99435,2,1
99436,2,1
83059,2,1
91250,2,1
99448,3,3
83067,6,15
107645,3,3
99453,5,10
91261,2,1
107646,3,3
99454,5,10
91262,2,1
115841,6,15
83073,2,1
83072,2,1
115840,6,15
91264,2,1
115843,6,15
99458,5,10
83074,2,1
115847,5,10
115846,6,15
115848,6,15
74891,2,1
115851,5,10
107659,3,3
74890,2,1
115850,5,10
115853,5,10
99469,5,10
115852,5,10
91281,11,55
83091,2,1
83093,3,3
115861,2,1
83092,2,1
83100,3,3
83102,2,1
107683,2,1
83109,2,1
74916,2,1
107684,2,1
115879,3,3
83110,2,1
83117,2,1
74927,2,1
115887,2,1
115886,2,1
83125,2,1
91323,2,1
99519,3,3
115905,2,1
74960,2,1
74963,2,1
83154,3,3
74962,2,1
115925,2,1
107735,3,3
83158,2,1
83161,6,13
74971,2,1
107738,3,3
107741,3,3
83164,2,1
107742,3,3
115937,2,1
99555,2,1
107747,5,10
83170,6,15
115938,2,1
99561,2,1
107752,2,1
99563,2,1
107754,2,1
99565,6,15
91373,2,1
83180,2,1
91372,2,1
99567,2,1
74993,2,1
115953,7,21
107765,2,1
107764,2,1
115959,7,21
115961,7,21
75001,3,3
115960,7,21
115963,7,21
115962,7,21
115964,7,21
115967,2,1
75008,2,1
115971,2,1
99586,2,1
115970,8,28
99589,4,4
99590,2,1
115977,2,1
99595,2,1
75022,2,1
115987,2,1
115986,2,1
83221,2,1
115988,2,1
99610,2,1
115997,2,1
83229,2,1
107805,2,1
75039,2,1
75038,3,3
107806,2,1
83233,3,3
83232,3,3
75040,3,3
75042,6,15
83234,2,1
75044,2,1
91428,3,3
116007,7,21
75049,2,1
99625,2,1
116009,7,21
116008,7,21
116010,7,21
91436,2,1
107825,2,1
116017,5,10
116016,5,10
91440,2,1
116019,5,10
107826,2,1
116021,5,10
116020,5,10
83256,2,1
107832,2,1
83258,3,3
99642,2,1
116031,3,3
107843,3,3
91458,2,1
83266,4,6
91461,2,1
107845,3,3
83268,4,6
107844,3,3
83271,4,6
83270,4,6
116047,3,3
91475,2,1
116051,2,1
99666,2,1
116050,2,1
116053,3,3
91483,9,36
91489,4,6
91490,4,6
91495,4,6
116073,3,3
91499,4,6
91502,2,1
91504,3,2
83317,2,1
75126,2,1
116089,2,1
75130,2,1
75132,2,1
116095,3,3
83329,3,3
75139,2,1
116098,3,3
75141,5,10
75140,5,10
99719,2,1
75142,3,3
99718,2,1
83334,6,11
75145,5,10
116105,2,1
116104,2,1
99722,2,1
75146,5,10
91535,2,1
116115,2,1
91538,2,1
116117,2,1
91542,2,1
83350,5,10
116120,3,3
116124,3,3
116129,3,3
91559,2,1
107942,2,1
116137,2,1
116139,2,1
116141,2,1
116143,2,1
107950,4,4
107953,3,3
75185,2,1
75186,2,1
107967,2,1
107966,2,1
91586,3,2
75205,2,1
99783,2,1
99784,2,1
75211,5,10
75213,5,10
75212,2,1
75215,5,10
75217,5,10
75216,5,10
75225,2,1
75226,2,1
99804,3,3
75231,6,15
116190,3,3
83425,8,18
116193,3,3
99811,3,3
83426,8,21
116194,3,3
83428,6,14
116199,2,1
75238,6,15
75240,6,15
116200,2,1
91627,6,15
75242,6,15
99821,4,6
83439,2,1
116206,2,1
91633,6,15
116208,2,1
91635,6,15
116211,12,65
99826,4,6
91637,6,15
91636,6,15
99828,4,6
99831,4,6
83446,3,3
91638,6,15
91640,3,3
108027,2,1
108026,2,1
83453,2,1
75260,5,10
75263,3,3
99838,2,1
75262,6,15
116225,2,1
75265,6,15
75264,6,15
99843,4,6
91651,2,1
99842,4,6
91652,2,1
75268,6,15
116230,2,1
108043,2,1
108042,2,1
99854,5,9
116241,3,3
116240,3,3
83472,3,3
116243,3,3
91666,2,1
75285,2,1
116247,2,1
108054,2,1
83481,2,1
99864,4,4
116248,2,1
83483,2,1
99867,2,1
83484,2,1
99868,2,1
83489,4,4
83488,3,3
99875,7,18
99874,2,1
83490,2,1
116261,3,3
99879,6,13
116262,3,3
116265,2,1
99881,7,18
116264,2,1
99880,9,25
99883,8,21
99882,7,17
108076,2,1
91703,2,1
83511,2,1
91702,2,1
108089,4,6
99896,2,1
83512,2,1
91707,4,6
108090,4,6
116284,2,1
108092,4,6
116287,2,1
99902,12,65
108094,4,6
99904,3,3
108098,2,1
83527,2,1
83529,2,1
91720,4,6
99912,2,1
75338,2,1
75343,3,3
91726,2,1
83536,3,3
99923,2,1
83545,6,15
91736,2,1
116317,2,1
99937,2,1
83552,8,28
116320,2,1
83555,4,6
99939,3,3
108130,2,1
99941,3,3
99940,3,3
83558,11,54
116329,2,1
108139,2,1
83562,2,1
116332,2,1
108145,2,1
83573,2,1
108148,2,1
99958,2,1
116345,4,6
116344,4,6
116347,4,6
116349,3,3
116350,3,3
108158,2,1
83585,4,6
91779,2,1
116354,3,3
83589,3,3
75397,4,6
108165,6,15
83593,3,3
91785,3,3
108169,2,1
91787,3,3
83597,19,171
91788,2,1
91791,2,1
83599,19,171
83598,19,171
99985,4,5
91792,3,3
99984,3,3
75411,2,1
91795,4,6
83602,19,171
75413,2,1
83605,19,171
83604,19,171
99991,2,1
83607,19,171
99990,2,1
83606,19,171
83609,2,1
116377,2,1
91801,2,1
116376,2,1
83611,8,28
75418,5,10
83610,11,49
83613,19,171
91804,2,1
83612,19,171
83615,19,171
91806,2,1
83614,19,171
83616,19,171
83619,19,171
83621,7,21
116389,4,6
83620,7,21
116388,4,6
83623,7,21
83625,7,21
116392,4,6
83627,19,171
83626,7,21
83628,19,171
83631,19,171
83630,19,171
83633,11,49
83632,8,28
116403,4,6
83635,11,49
116402,4,6
116405,4,6
116404,4,6
83636,9,36
83639,19,171
83638,11,49
83641,11,49
91832,2,1
75453,2,1
83646,7,21
100033,3,3
100032,3,3
83648,3,3
100034,2,1
116418,2,1
75461,2,1
100036,3,3
91844,2,1
100038,2,1
75462,2,1
75464,2,1
75469,2,1
83661,2,1
83660,3,3
75468,2,1
100047,2,1
83663,3,3
83662,2,1
83664,7,21
100048,2,1
108243,2,1
75476,2,1
116441,5,7
116440,5,7
91873,3,3
108256,2,1
116448,4,6
91875,3,3
116450,4,6
91876,3,3
75495,2,1
75494,2,1
91881,6,15
91880,6,15
100072,2,1
75496,2,1
91883,6,15
100075,7,21
100079,7,21
100078,7,21
108270,6,15
91889,6,15
100083,7,21
100082,7,21
100084,7,21
91895,6,15
91894,6,15
100086,7,21
83704,2,1
108283,6,15
108284,6,15
75518,2,1
91905,4,6
116485,2,1
108293,2,1
108292,2,1
116488,2,1
75531,2,1
91914,2,1
91916,2,1
91918,2,1
116498,2,1
91926,2,1
91929,2,1
75544,2,1
91932,2,1
83743,3,3
108318,2,1
91934,2,1
100130,3,3
100135,2,1
116520,2,1
100136,2,1
75562,7,21
100143,3,3
116529,2,1
108336,3,3
100153,3,3
116537,2,1
91960,2,1
100155,3,3
83770,8,28
116543,3,3
108350,2,1
91969,3,3
116545,3,3
100160,3,3
91971,3,3
100164,3,3
83780,3,2
83783,2,1
83784,2,1
108360,2,1
116555,2,1
116556,3,3
116559,2,1
100175,2,1
116558,2,1
100177,2,1
100176,2,1
108370,2,1
116565,3,3
108373,2,1
91989,3,3
91993,3,3
75611,2,1
116571,3,3
108385,2,1
75619,12,66
116579,2,1
75621,3,3
116581,3,3
75620,2,1
100196,3,3
75623,2,1
116582,3,3
92009,3,3
108393,2,1
108395,2,1
83819,2,1
108397,2,1
108396,3,2
108400,2,1
116595,2,1
100211,2,1
108403,2,1
92018,3,3
83829,2,1
108405,2,1
92020,5,10
100212,2,1
92023,5,10
108407,2,1
92022,5,10
116601,2,1
92024,5,10
116600,3,3
75643,2,1
116609,2,1
108416,6,15
116608,2,1
116610,3,3
92034,5,10
108421,2,1
108420,3,3
116615,3,3
83847,5,10
116617,3,3
75656,2,1
83848,5,10
108427,2,1
116620,2,1
108431,3,3
108432,3,3
92052,3,3
83862,5,10
83864,5,10
83866,5,10
75677,2,1
75679,2,1
83870,2,1
75681,2,1
83875,3,3
108451,5,10
92066,3,3
83874,8,28
83877,3,3
100261,2,1
