InsiderId, transactionPrice, Date, Ratio
75787,24.76,2009-04-01,-3.4445343850644985E-5
75787,22.98,2011-06-30,0.021504415490012082
75787,22.88,2010-04-01,-2.9605068387707974E-5
75787,34.97,2015-04-01,-6.242976651267325E-5
75787,22.97,2009-10-01,-7.716942547362735E-5
75787,23.1,2010-07-01,-5.843510781277391E-5
75787,30.21,2014-10-01,-5.986410847376455E-5
75787,23.56,2012-04-02,-9.198785760279643E-5
75787,38.0,2015-07-01,-5.1317578836630486E-5
75787,24.99,2013-07-01,-6.805498843065197E-5
75787,24.76,2010-10-01,-5.8870279339475464E-5
75787,29.18,2013-10-01,-3.6789051578250314E-5
75787,27.19,2009-01-02,-3.963535473642489E-5
75787,21.08,2012-01-03,-6.758811800885405E-5
75787,24.98,2011-01-03,-4.611057315442431E-5
75787,21.8,2010-01-04,-7.855459544383346E-5
75787,23.39,2011-07-01,-7.852683654638972E-5
75787,23.94,2009-07-01,-3.2143488532810465E-5
75787,31.92,2013-12-31,-8.116553711294184E-5
75787,30.63,2014-07-01,-2.7601054360276567E-5
83981,30.73,2016-03-15,-2.7479960464626488E-5
83981,30.72,2016-03-15,-3.204952108858488E-5
83981,30.2,2015-12-24,9.532062338418523E-5
83981,28.18,2016-02-17,1.7210636653900446E-5
83981,28.6,2016-02-17,-2.0378338408509992E-5
83981,30.15,2015-12-14,-2.2768630762512005E-5
83981,27.35,2016-01-15,-1.0472100425321856E-5
83981,27.28,2016-01-15,-1.1937483399437147E-5
119821,11.22,2015-06-02,0.06968998206507815
119821,11.85,2015-06-04,0.013977237064755038
119821,9.98,2015-04-28,0.01596161535385846
119821,9.91,2015-04-23,-0.036667223992246985
119821,12.31,2015-07-02,0.1413905014986704
119821,9.92,2015-03-24,-0.006857729082370867
119821,9.15,2015-02-19,0.019492360698856164
119821,9.85,2015-03-26,0.06688890533759884
119821,12.31,2015-06-18,0.15758020301092118
119821,9.23,2015-02-10,-0.027502324140068174
119821,12.41,2015-06-30,-0.09678639333517243
119821,14.08,2016-02-16,-0.13221476636110782
119821,10.74,2015-05-19,-0.0718234763525551
119821,14.37,2016-02-09,-0.21523736772338178
119821,12.45,2015-06-16,-0.08085815375570862
119821,10.78,2015-05-21,-0.042050556783698796
119821,14.27,2016-02-11,-0.10486062428445667
119821,9.98,2015-04-30,-0.07128749647312611
119821,14.5,2016-01-19,-0.0958038993288221
119821,9.95,2015-04-14,-0.14072249806241385
119821,9.22,2015-01-22,-0.014423076923076924
119821,9.34,2015-01-29,-0.033375197249559764
119821,10.01,2015-05-05,-0.031198239284822907
119821,9.2,2015-02-17,-0.05453803909666038
119821,10.36,2015-05-12,0.037816034918655005
119821,9.9,2015-03-19,-0.006550802310064339
119821,14.78,2016-01-26,-0.07455615003744201
119821,9.3,2015-03-17,0.015709289629301307
119821,11.89,2015-07-07,-0.031355215331223124
119821,9.2,2015-03-10,-0.024937655860349132
119821,9.33,2015-02-05,-0.014310035429991258
119821,14.68,2016-01-28,-0.07621504063331168
119821,9.14,2015-02-24,0.020616900986543524
119821,10.81,2015-05-26,0.023764103918733712
119821,11.27,2015-05-28,-0.037851972121334
119821,9.98,2015-04-16,-0.06370405233519821
119821,9.43,2015-01-06,0.016879902980833344
119821,10.49,2015-05-14,0.019091093598991086
119821,9.94,2015-03-31,0.02266818700114025
119821,9.24,2015-03-12,-0.07756328178863389
119821,14.77,2016-02-04,-0.21010604878765823
119821,14.7,2016-01-21,0.057025639293115805
119821,9.19,2015-03-05,-0.04491203789227171
119821,9.25,2015-01-20,-0.01082535637853404
119821,9.89,2015-04-02,0.023554713502995546
119821,10.08,2015-05-07,0.037845352924811275
119821,14.57,2016-02-18,0.1737635418090347
119821,9.89,2015-04-09,0.0175394726808082
119821,9.23,2015-02-12,-0.023820994132929582
119821,90.91,2015-04-23,-0.3363690548067783
119821,14.91,2016-02-02,0.15929640349105922
119821,9.17,2015-02-26,-0.029274004683840747
119821,9.33,2015-01-27,-0.04106323407957949
119821,9.47,2015-01-08,-0.03331370978763478
119821,9.9,2015-04-07,-0.03069367710251688
119821,14.42,2016-03-08,-0.028545321270421434
119821,9.9,2015-04-21,-0.13991163475699558
119821,9.21,2015-03-03,-0.08158817901562668
119821,12.27,2015-06-25,0.12107357030072229
120849,42.91,2016-01-12,0.01600819866725161
120849,42.2,2016-01-11,0.014508282914642274
120849,43.79,2015-12-30,0.009580485409353405
120849,43.59,2015-12-31,-0.00837651912980688
120849,43.0,2016-01-20,0.007979835665520385
120849,41.8,2015-12-23,0.02623426735540616
120849,41.17,2015-12-21,0.024991316056586922
120849,43.2,2016-01-13,-0.010322326038129095
120849,41.49,2015-12-22,-0.0149974174549211
120849,43.7,2016-01-06,0.007438608903906066
120849,42.76,2016-01-15,0.007853943356997425
120849,43.88,2016-01-19,-0.011010272955605534
120849,42.79,2016-01-14,0.0013935504592255859
120849,41.99,2015-12-17,0.009835823856841557
120849,42.88,2016-01-08,-0.012776024020852756
120849,43.8,2016-01-05,0.010970207539632857
120849,41.76,2016-01-04,0.014530020080235217
120849,41.67,2015-12-18,-0.015431178698109595
120849,42.83,2015-12-24,0.02798912064252961
120849,43.19,2016-01-07,-0.008053119441728642
120849,43.9,2015-12-29,-0.01584444802918887
120849,42.98,2015-12-28,0.0097697283782269
97297,27.41,2013-06-14,-3.636354359073792E-4
97297,21.75,2012-06-15,-2.85838903340607E-5
97297,21.21,2012-06-01,-1.5079057939074243E-4
97297,23.27,2013-01-31,-1.7362224462822137E-4
97297,17.49,2011-07-01,-1.7632638427072234E-4
97297,22.22,2012-08-31,-2.970149066194223E-4
97297,17.28,2012-04-30,-9.144349796318846E-5
97297,21.21,2012-06-18,-5.582307438489144E-5
97297,17.73,2010-03-16,1.0306534232255338E-4
97297,21.57,2010-06-16,5.2962855146902196E-5
97297,22.76,2012-09-17,-3.9513799708438155E-5
97297,19.67,2011-12-01,-1.5541298611001375E-4
97297,21.45,2010-05-28,-1.7814947132840903E-4
97297,19.4,2012-03-16,-3.574078886025197E-5
97297,17.07,2010-03-01,1.3502256466726577E-4
97297,19.94,2009-09-01,-1.435873748762765E-4
97297,19.4,2011-10-31,-1.3480150235579524E-4
97297,22.9,2012-09-14,-4.3399010502560534E-5
97297,20.29,2012-01-04,-1.5870215706814274E-4
97297,18.07,2009-08-03,-7.257860361678622E-5
97297,22.76,2013-01-02,3.9441443083611966E-5
97297,19.76,2010-07-01,1.3120856816385714E-4
97297,18.74,2011-06-01,-9.706220660035813E-5
97297,16.73,2009-06-16,1.8776085206660274E-5
97297,17.65,2011-10-03,-9.656104178496926E-5
97297,21.4,2012-11-08,-8.007885946549331E-5
97297,25.39,2013-03-28,6.143164915920618E-5
97297,20.7,2012-03-01,-1.707106989700546E-4
97297,18.35,2010-03-31,-1.7302987570608688E-4
97297,18.07,2009-07-01,-7.421695788748272E-5
97297,19.46,2012-03-15,1.43274998468592E-4
97297,21.71,2012-12-31,3.691593247434895E-5
97297,17.56,2010-01-05,3.157346336709589E-5
97297,22.82,2010-12-31,-2.1314831835130427E-4
97297,17.52,2009-11-02,-8.902400532858007E-5
97297,29.76,2009-01-05,-5.3781477615736985E-5
97297,20.49,2011-02-01,2.256124204559313E-4
97297,20.97,2012-11-30,-1.0825957020795749E-4
97297,16.95,2010-02-01,-2.0919003637449532E-4
97297,19.42,2009-03-17,1.484400201708738E-5
97297,19.15,2009-04-30,-3.811361125366011E-5
97297,29.6,2009-01-05,-7.641761412374303E-6
97297,25.85,2013-03-18,-7.76743441971646E-5
97297,18.58,2011-06-16,-8.653702271804572E-5
97297,19.02,2011-03-15,7.584408696748763E-5
97297,22.47,2010-05-04,1.5718095571197482E-4
97297,20.6,2010-11-30,7.050524993043254E-5
97297,22.04,2012-12-31,-1.1243120475375186E-4
97297,20.5,2011-03-01,-1.516037203582557E-4
97297,17.44,2009-12-02,2.6868723024395236E-4
97297,21.61,2010-09-16,1.0088984752140583E-4
97297,17.16,2011-07-29,-1.2944293367272294E-4
97297,16.36,2009-03-03,6.765314336777286E-5
97297,20.27,2011-12-30,-3.328891964104067E-4
97297,17.31,2010-01-06,1.47907155405967E-4
97297,30.09,2014-03-18,6.863821649217349E-5
97297,20.58,2011-04-01,2.0848498640653574E-4
97297,20.7,2010-09-01,1.2527658892110493E-4
97297,19.37,2012-08-01,-1.3478359272993585E-4
97297,22.46,2011-01-04,8.845545976162709E-5
97297,17.03,2009-08-03,6.840141779711507E-5
97297,29.7,2014-03-17,3.207133182522484E-4
97297,21.64,2010-08-02,2.050509969072843E-4
97297,17.82,2009-10-02,7.629520747929369E-5
97297,25.96,2013-03-15,2.362842169764348E-5
97297,21.29,2010-09-30,-1.196596719309116E-4
97297,23.58,2009-04-02,6.0696751342381496E-5
97297,18.1,2012-04-02,1.6385255054641328E-4
97297,16.71,2011-08-09,-0.014335878101926602
97297,20.13,2009-01-30,-1.1535209450436662E-4
97297,19.89,2010-11-01,2.1444018884709192E-4
97297,25.54,2012-09-28,-2.4152140993560594E-4
97297,21.53,2012-07-02,1.9377736160196727E-4
97297,20.05,2012-02-01,-1.1540687210797501E-4
97297,18.15,2011-08-31,-9.66746697862749E-5
97297,19.75,2011-04-29,2.0718998555859574E-4
97297,20.9,2012-12-07,-0.021649186952756663
97297,20.99,2008-11-28,1.0818941949948986E-4
97297,16.84,2011-09-16,2.8594987658647844E-5
97297,19.9,2009-09-16,4.886118331571794E-5
97297,27.96,2013-06-17,-1.1630643701220243E-4
97297,27.16,2008-09-16,4.077126295595073E-6
97297,17.94,2009-06-01,6.918209525726658E-5
120848,42.91,2016-01-12,0.03201639733450322
120848,42.2,2016-01-11,0.02901656582928455
120848,43.79,2015-12-30,0.01903814408268946
120848,43.59,2015-12-31,-0.01678853198474006
120848,43.0,2016-01-20,0.015980560953201817
120848,41.8,2015-12-23,0.05240636820049145
120848,41.17,2015-12-21,0.04992341098507767
120848,43.2,2016-01-13,-0.02064465207625819
120848,41.49,2015-12-22,-0.02995929600592058
120848,43.7,2016-01-06,0.01485026632627624
120848,42.76,2016-01-15,0.01570788671399485
120848,43.88,2016-01-19,-0.022049368615283334
120848,42.79,2016-01-14,0.0028351543825623987
120848,41.99,2015-12-17,0.01962159263044219
120848,42.88,2016-01-08,-0.025505758099600973
120848,43.8,2016-01-05,0.021900667950498928
120848,41.76,2016-01-04,0.029007395160179725
120848,41.67,2015-12-18,-0.03078382722472754
120848,42.83,2015-12-24,0.0562448043387976
120848,43.19,2016-01-07,-0.016077060914465518
120848,43.9,2015-12-29,-0.03175603355002685
120848,42.98,2015-12-28,0.019580853910598828
110608,18.77,2009-04-01,0.0022713990784294703
110608,30.81,2010-07-14,0.00120434022399197
110608,0.0,2009-02-19,0.0
110608,0.0,2010-08-26,0.0
110608,31.48,2010-01-08,0.0047460607703051615
110608,31.09,2010-04-16,-0.002019220777292836
110608,0.0,2010-02-16,0.0
110608,26.66,2009-10-05,0.004064016835185836
110608,0.0,2009-08-20,0.0
110608,0.0,2010-05-19,0.0
110608,0.0,2009-11-25,0.0
110608,0.0,2009-11-19,0.0
110608,28.0,2009-11-25,-15.20132811096251
110608,0.0,2009-05-22,0.0
110608,14.7,2009-01-02,0.004827066394499847
110608,20.64,2009-07-06,0.0019777790416748062
120851,42.91,2016-01-12,0.01600819866725161
120851,42.2,2016-01-11,0.014508282914642274
120851,43.79,2015-12-30,0.009580485409353405
120851,43.59,2015-12-31,-0.00837651912980688
120851,43.0,2016-01-20,0.007979835665520385
120851,41.8,2015-12-23,0.02623426735540616
120851,41.17,2015-12-21,0.024991316056586922
120851,43.2,2016-01-13,-0.010322326038129095
120851,41.49,2015-12-22,-0.0149974174549211
120851,43.7,2016-01-06,0.007438608903906066
120851,42.76,2016-01-15,0.007853943356997425
120851,43.88,2016-01-19,-0.011010272955605534
120851,42.79,2016-01-14,0.0013935504592255859
120851,41.99,2015-12-17,0.009835823856841557
120851,42.88,2016-01-08,-0.012776024020852756
120851,43.8,2016-01-05,0.010970207539632857
120851,41.76,2016-01-04,0.014530020080235217
120851,41.67,2015-12-18,-0.015431178698109595
120851,42.83,2015-12-24,0.02798912064252961
120851,43.19,2016-01-07,-0.008053119441728642
120851,43.9,2015-12-29,-0.01584444802918887
120851,42.98,2015-12-28,0.0097697283782269
117778,22.99,2015-04-28,0.2895192519598275
117778,13.1,2011-08-02,-0.0366725731248205
117778,19.4,2013-04-08,-0.007651901914347402
117778,16.93,2012-07-09,-0.026462522202486675
117778,19.49,2013-07-08,-0.0025619674117425173
117778,13.06,2011-08-03,-0.19913709401709404
117778,24.17,2015-10-05,-0.0345609823036811
117778,19.69,2014-01-03,0.09059086499936739
117778,13.81,2012-01-04,0.38498213009292354
117778,13.56,2011-10-06,-0.029282797380916128
117778,12.88,2011-07-06,-0.020684592089565936
117778,24.17,2015-04-06,-0.011542419705685012
117778,13.75,2011-12-21,-0.3024193548387097
117778,10.0,2009-09-01,-0.2222222222222222
117778,19.0,2013-02-12,-0.5
117778,17.31,2013-01-02,0.009310506188178724
117778,23.59,2015-07-06,-0.025229929659137926
117778,20.11,2013-10-07,-0.016214175767793007
117778,15.47,2012-04-09,-8.324566619402644E-4
117778,17.31,2012-12-31,0.05280802776158593
117778,17.35,2012-10-09,-Infinity
117778,7.78,2009-01-23,-0.27649769585253453
120853,42.91,2016-01-12,0.01600819866725161
120853,42.2,2016-01-11,0.014508282914642274
120853,43.79,2015-12-30,0.009580485409353405
120853,43.59,2015-12-31,-0.00837651912980688
120853,43.0,2016-01-20,0.007979835665520385
120853,41.8,2015-12-23,0.02623426735540616
120853,41.17,2015-12-21,0.024991316056586922
120853,43.2,2016-01-13,-0.010322326038129095
120853,41.49,2015-12-22,-0.0149974174549211
120853,43.7,2016-01-06,0.007438608903906066
120853,42.76,2016-01-15,0.007853943356997425
120853,43.88,2016-01-19,-0.011010272955605534
120853,42.79,2016-01-14,0.0013935504592255859
120853,41.99,2015-12-17,0.009835823856841557
120853,42.88,2016-01-08,-0.012776024020852756
120853,43.8,2016-01-05,0.010970207539632857
120853,41.76,2016-01-04,0.014530020080235217
120853,41.67,2015-12-18,-0.015431178698109595
120853,42.83,2015-12-24,0.02798912064252961
120853,43.19,2016-01-07,-0.008053119441728642
120853,43.9,2015-12-29,-0.01584444802918887
120853,42.98,2015-12-28,0.0097697283782269
120852,42.91,2016-01-12,0.01600819866725161
120852,42.2,2016-01-11,0.014508282914642274
120852,43.79,2015-12-30,0.009580485409353405
120852,43.59,2015-12-31,-0.00837651912980688
120852,43.0,2016-01-20,0.007979835665520385
120852,41.8,2015-12-23,0.02623426735540616
120852,41.17,2015-12-21,0.024991316056586922
120852,43.2,2016-01-13,-0.010322326038129095
120852,41.49,2015-12-22,-0.0149974174549211
120852,43.7,2016-01-06,0.007438608903906066
120852,42.76,2016-01-15,0.007853943356997425
120852,43.88,2016-01-19,-0.011010272955605534
120852,42.79,2016-01-14,0.0013935504592255859
120852,41.99,2015-12-17,0.009835823856841557
120852,42.88,2016-01-08,-0.012776024020852756
120852,43.8,2016-01-05,0.010970207539632857
120852,41.76,2016-01-04,0.014530020080235217
120852,41.67,2015-12-18,-0.015431178698109595
120852,42.83,2015-12-24,0.02798912064252961
120852,43.19,2016-01-07,-0.008053119441728642
120852,43.9,2015-12-29,-0.01584444802918887
120852,42.98,2015-12-28,0.0097697283782269
93204,29.01,2012-01-18,0.32008950589699536
93204,34.55,2012-03-15,-0.2562144043663977
93204,33.89,2012-03-29,-0.5360210234048319
93204,34.78,2012-03-07,-0.15456102010928172
93204,35.15,2012-02-28,-0.4061214450056707
93204,75.43,2013-08-20,0.5024337803867466
93204,34.73,2012-03-26,-0.20878541037550544
93204,29.94,2012-01-23,0.1776486474860056
93204,33.29,2012-03-20,-0.2937876142354175
93204,34.74,2012-03-30,0.39721818011303717
93204,35.27,2012-03-12,-0.3271426432597105
93204,33.85,2012-03-19,-0.17758725831862943
93204,32.95,2012-01-31,0.14623150699833706
93204,34.37,2012-03-06,0.4226937939745436
93204,34.45,2012-03-16,-0.2197291318449204
93204,29.1,2012-01-17,-0.2747940998168622
93204,33.18,2012-03-23,0.15680992467877714
93204,33.07,2012-03-22,-0.3136788448423211
93204,33.8,2012-02-10,0.1456233400608731
93204,33.03,2012-02-01,0.18329945160000585
93204,33.49,2012-03-21,-0.1439124434803108
93204,34.65,2012-03-27,-0.25692477138885744
93204,29.42,2012-01-19,-0.4419154503228338
93204,35.2,2012-02-29,-0.34555241429116657
93204,33.34,2012-02-08,0.05911454265758973
93204,35.03,2012-03-08,-0.19200207717103837
93204,35.15,2012-03-01,-0.07828181984073881
93204,34.43,2012-03-02,-0.27431506567844977
93204,34.76,2012-03-14,-0.23926958217688693
93204,31.67,2012-01-26,0.13437689680793283
93204,35.47,2012-03-13,-0.4130694584388057
93204,34.5,2012-02-13,0.05495679800416361
93204,29.66,2012-01-20,0.200689415444867
93204,34.07,2012-03-05,0.4641607164995715
93204,75.15,2013-08-19,-0.17833274897618848
93204,33.43,2012-02-09,0.16168129849637924
93204,32.49,2012-01-27,0.15170456094229393
93204,35.07,2012-03-09,-0.06707974168848144
93204,32.93,2012-01-30,-0.3117334136618865
93204,76.79,2013-09-06,-0.09728780493259435
93204,77.22,2013-08-29,0.06485626929924403
93204,33.19,2012-02-07,0.23854910776676155
93204,33.25,2012-02-03,-0.13374682219310294
93204,34.27,2012-03-28,-0.15355086372360846
93204,28.1,2012-01-13,-0.3895356270717928
91158,46.42,2012-02-01,-0.021670514907200625
91158,64.38,2014-12-08,-0.001310963466514841
91158,66.47,2016-02-29,-0.0041373053830251905
91158,65.97,2015-04-13,-0.006652991577112983
91158,40.18,2016-01-22,-7.130471985071227E-4
91158,69.35,2015-08-26,-5.25994440462511E-4
91158,39.8,2015-04-22,0.003329154324538009
91158,64.6,2015-01-20,-0.018814195508354357
91158,57.85,2013-06-03,-0.002171187941931513
91158,32.15,2012-07-19,-0.002053914127862702
91158,39.11,2016-03-16,-8.40833687353483E-4
91158,35.98,2014-08-27,-0.003398609687152216
91158,36.33,2014-07-23,1.4806434057057808E-4
91158,44.2,2015-11-20,0.001914237815031791
91158,35.75,2009-08-12,-0.027613706946055853
91158,55.53,2014-05-01,-0.0023506042092733374
91158,40.08,2012-03-05,-0.0018392635321103346
91158,45.53,2012-04-03,-0.005354264316380222
91158,66.71,2016-03-14,-0.013718208140032242
91158,69.86,2015-09-01,-3.2740145876892737E-4
91158,58.96,2014-10-14,-1.9485753257220798E-4
91158,28.0,2012-06-20,0.009876543209876543
